Ax	Ay	Gx	Gy
2,916060	1,456283	-262,000000	325,000000
2,916060	1,456283	-266,072662	326,493317
2,914179	1,453888	-264,026459	331,585052
2,912553	1,451818	-264,973145	331,912903
2,911149	1,450029	-265,655579	332,739258
2,909935	1,448484	-265,838104	330,738342
2,907072	1,444625	-264,502533	330,909607
2,904599	1,441290	-268,914246	329,292816
2,902461	1,438408	-270,554962	329,931854
2,900613	1,435917	-270,072357	329,669586
2,899826	1,431665	-267,890442	331,207733
2,899145	1,427990	-267,498047	331,043762
2,898557	1,424813	-270,688568	332,395386
2,898048	1,422068	-271,545380	332,884735
2,895456	1,420636	-271,878601	334,393677
2,893215	1,419399	-271,623566	332,439667
2,891279	1,418329	-269,502594	331,022430
2,889606	1,417405	-270,248901	329,526093
2,889455	1,414787	-271,436920	330,404968
2,889326	1,412525	-271,377594	330,214233
2,889213	1,410570	-272,412384	331,271179
2,889116	1,408880	-269,234039	331,098602
2,892595	1,411111	-268,930756	335,429382
2,895601	1,413039	-268,397125	336,592896
2,898198	1,414705	-271,465576	334,747589
2,900444	1,416145	-274,253235	332,745514
2,902728	1,418013	-273,947357	332,237030
2,904703	1,419627	-276,941132	332,612122
2,906410	1,421022	-279,528473	331,850250
2,907885	1,422228	-277,148895	331,870575
2,909598	1,423867	-279,708038	331,888153
2,911079	1,425282	-280,019196	334,618439
2,912359	1,426506	-280,831116	331,004852
2,913465	1,427564	-279,089233	330,189667
2,912202	1,428324	-276,362030	330,028168
2,911110	1,426860	-275,226837	332,875214
2,910167	1,425595	-274,788788	333,978210
2,909352	1,424502	-272,916901	333,573914
2,912133	1,423557	-271,842133	329,423340
2,914536	1,420942	-271,456299	327,872559
2,916612	1,418682	-269,765289	326,396545
2,918407	1,416729	-268,711121	329,057800
2,919958	1,415041	-271,058167	327,420898
2,921614	1,417552	-270,507263	328,721313
2,923045	1,419722	-271,388672	330,116699
2,924282	1,421597	-269,028076	329,286316
2,925350	1,423218	-269,431519	328,161407
2,923874	1,422371	-270,323212	330,718842
2,922598	1,421640	-273,130188	329,942474
2,921495	1,421008	-273,927032	332,122375
2,920542	1,420462	-272,850891	332,241516
2,917204	1,417820	-271,377838	329,086365
2,914318	1,415538	-271,462311	330,160675
2,911825	1,413565	-271,535309	330,138855
2,909670	1,411860	-271,462646	331,749054
2,906110	1,411352	-273,979187	330,561310
2,903033	1,410913	-274,932312	329,806335
2,900374	1,410534	-272,090637	327,932068
2,898077	1,410206	-270,992279	332,421204
2,897138	1,407944	-271,807861	329,648926
2,896327	1,405989	-271,155182	329,696594
2,895626	1,404299	-266,789948	330,145050
2,895020	1,402839	-266,275452	328,224792
2,892349	1,402708	-266,238068	331,452393
2,890041	1,402594	-266,341492	331,662476
2,888046	1,402496	-269,145996	332,251312
2,886322	1,402412	-270,076477	330,452393
2,885834	1,403420	-269,251556	329,712189
2,885413	1,404292	-270,982208	330,565796
2,885049	1,405045	-270,848877	328,316895
2,884734	1,405696	-270,869385	328,816895
2,882759	1,407251	-269,393799	328,705994
2,881052	1,408595	-269,747589	328,881653
2,879577	1,409756	-270,596375	328,761963
2,878302	1,410760	-271,058441	327,300964
2,875715	1,411631	-269,285706	325,766815
2,873480	1,410576	-270,468719	329,599609
2,871547	1,409666	-271,219604	329,789734
2,869878	1,408878	-271,054047	332,533386
2,867573	1,408198	-271,182465	333,954285
2,867702	1,405771	-272,786743	331,652649
2,867814	1,403674	-271,865417	331,021027
2,867910	1,401861	-271,476410	327,081268
2,867994	1,400294	-272,633545	329,785339
2,869146	1,397285	-271,733002	328,049652
2,870141	1,394685	-268,646881	328,721680
2,871002	1,392438	-265,979706	331,610321
2,871745	1,390496	-268,969086	331,527466
2,873331	1,389919	-265,579407	329,419525
2,874701	1,389420	-264,143188	330,991638
2,875885	1,388989	-265,481293	329,363708
2,876908	1,388617	-266,094727	330,536133
2,881379	1,389359	-263,502533	330,056091
2,885243	1,389999	-264,520355	331,134521
2,888582	1,390553	-266,486053	330,030212
2,891468	1,391032	-266,827332	333,555756
2,894863	1,389713	-267,393799	334,023315
2,897798	1,388573	-268,426392	334,291656
2,900334	1,387588	-269,183044	335,473846
2,902525	1,386737	-272,280579	333,373199
2,905096	1,384316	-272,921265	331,421967
2,907318	1,382225	-271,167145	329,464111
2,909238	1,380417	-271,551727	328,586578
2,910898	1,378854	-271,341064	326,877899
2,912734	1,376034	-270,480225	324,993896
2,914320	1,373596	-269,736267	326,623779
2,915692	1,371490	-270,858124	327,353638
2,916877	1,369669	-272,099182	328,255920
2,915665	1,369682	-271,406952	329,442963
2,914617	1,369693	-271,215942	330,740387
2,913712	1,369702	-271,865417	331,182892
2,912929	1,369710	-273,105499	333,194397
2,910084	1,370964	-273,769958	332,489227
2,907624	1,372047	-272,172119	332,422821
2,905499	1,372983	-269,705170	330,057587
2,903662	1,373792	-269,337921	332,357605
2,900111	1,374491	-267,255707	329,458191
2,897043	1,376188	-267,221008	327,766937
2,894391	1,377654	-266,512238	329,427643
2,892099	1,378922	-267,392975	330,048370
2,890123	1,380017	-267,339630	332,756897
2,889525	1,379423	-266,750488	330,074799
2,889009	1,378909	-267,870392	331,014923
2,888563	1,378465	-268,023743	329,383850
2,888177	1,378082	-268,970795	327,295410
2,891716	1,379124	-267,209930	327,255310
2,894774	1,380024	-267,452942	327,763672
2,897417	1,380802	-268,070221	327,524231
2,899701	1,381474	-270,504272	327,996094
2,899011	1,386134	-267,313446	329,218414
2,898416	1,390161	-270,257507	327,831207
2,897901	1,393642	-269,408020	328,125641
2,897456	1,396650	-267,316315	326,751038
2,897937	1,402536	-265,508545	325,155762
2,898352	1,407623	-266,254028	326,899445
2,898712	1,412020	-266,491058	327,320374
2,899022	1,415820	-267,917694	326,462341
2,900135	1,419416	-267,250092	324,906281
2,901096	1,422524	-265,179810	325,190521
2,901927	1,425210	-266,784454	328,015503
2,902646	1,427531	-266,134949	331,000000
2,903999	1,430009	-265,573608	329,370941
2,905168	1,432150	-269,839905	329,320587
2,906178	1,434001	-271,626465	330,906128
2,907052	1,435600	-271,405670	332,819458
2,908382	1,434480	-270,671814	332,708221
2,909533	1,433513	-272,073914	331,526031
2,910527	1,432676	-272,878418	334,576996
2,911386	1,431954	-273,030670	333,548370
2,912895	1,429323	-273,569519	335,238739
2,914199	1,427049	-274,849762	336,835388
2,915326	1,425084	-277,585266	334,549896
2,916301	1,423385	-276,148254	334,339478
2,917746	1,421147	-273,277283	333,478851
2,918995	1,418152	-271,339081	332,327789
2,920074	1,415564	-273,465118	331,876038
2,921007	1,413327	-272,451691	331,892853
2,922202	1,411393	-273,069153	330,685608
2,923234	1,410595	-274,281555	330,185272
2,924126	1,409904	-274,650604	329,888611
2,924897	1,409308	-273,068970	330,175232
2,925564	1,408792	-274,145660	330,422943
2,923647	1,406309	-273,854370	331,315826
2,921990	1,404164	-273,874146	332,766266
2,920558	1,402310	-274,570007	329,947144
2,919320	1,400708	-271,777527	331,990662
2,916073	1,397746	-270,721680	331,041656
2,913267	1,395187	-273,203064	331,579010
2,910842	1,392975	-272,089447	330,007111
2,908746	1,391063	-273,027588	330,006134
2,905158	1,390474	-276,010468	330,548309
2,902057	1,389965	-273,836975	329,795105
2,899377	1,389525	-275,080902	329,551422
2,897061	1,389145	-274,255402	329,612305
2,893202	1,389635	-275,442535	331,294006
2,889867	1,390058	-271,852814	332,340149
2,886985	1,390424	-271,601288	331,072174
2,884494	1,390740	-271,112396	332,962952
2,883285	1,391941	-268,925049	333,918274
2,882241	1,392979	-267,849182	333,250580
2,881338	1,393875	-269,634460	331,994751
2,880558	1,394651	-269,955597	330,909424
2,886317	1,393254	-271,047668	329,156891
2,891294	1,392047	-271,991486	330,221619
2,895595	1,391003	-272,264160	332,092102
2,899312	1,390102	-273,585846	330,314789
2,905976	1,387603	-272,148773	330,815063
2,911734	1,385444	-275,115204	325,817230
2,916711	1,383578	-272,112946	327,335358
2,921012	1,381965	-273,455170	324,574738
2,924882	1,381745	-270,270996	325,311249
2,928226	1,381555	-271,455994	323,232666
2,931117	1,381390	-269,900787	324,151367
2,933615	1,381248	-269,506989	324,945343
2,935925	1,381127	-272,153259	325,767303
2,937921	1,379274	-272,403961	328,242493
2,939646	1,377672	-271,941864	327,259277
2,941138	1,376288	-270,863708	330,210693
2,942558	1,375092	-272,104004	331,132385
2,943785	1,372536	-275,076508	329,892609
2,944846	1,370327	-274,115845	328,821136
2,945762	1,368418	-273,149841	330,067200
2,946555	1,366768	-269,871368	329,922333
2,944491	1,366553	-272,060913	330,204376
2,942707	1,366368	-272,324158	328,683319
2,941166	1,366207	-271,194122	332,527466
2,939834	1,366069	-269,267212	330,419525
2,938969	1,367247	-270,452728	329,683807
2,938222	1,368265	-269,848236	331,084290
2,937576	1,369145	-268,511292	330,665588
2,937018	1,369906	-269,120667	328,946167
2,936868	1,371761	-271,004852	331,804321
2,936739	1,373364	-268,560608	330,337585
2,936627	1,374749	-268,212982	330,563263
2,936531	1,375946	-267,641052	329,400757
2,933841	1,375201	-265,924957	329,074829
2,931517	1,374557	-267,835724	328,114380
2,929508	1,374001	-267,450745	328,913391
2,927772	1,373520	-270,104645	330,825714
2,926908	1,371817	-273,484314	329,220306
2,926162	1,370346	-271,110718	327,289825
2,925518	1,369074	-272,181732	326,978973
2,924961	1,367975	-269,984985	328,067871
2,924897	1,365583	-270,258545	330,502258
2,924841	1,363516	-275,925171	329,483795
2,924794	1,361729	-276,749847	329,010864
2,924752	1,360185	-274,611725	330,502686
2,927895	1,363054	-273,035370	329,891418
2,930611	1,365532	-270,043945	328,548615
2,932959	1,367675	-269,494965	329,424438
2,934988	1,369526	-268,341736	327,601990
2,937195	1,372363	-270,603180	330,506866
2,939103	1,374814	-272,150360	333,153168
2,940752	1,376933	-268,600311	333,268127
2,942177	1,378764	-268,790314	334,317780
2,940795	1,380347	-268,275757	330,744995
2,939600	1,379762	-269,595886	333,087463
2,938568	1,379257	-272,365845	333,075592
2,937676	1,378820	-267,972015	331,028992
2,936902	1,378443	-266,754028	330,617798
2,939697	1,376575	-266,380157	326,189758
2,942113	1,374962	-264,699493	326,299744
2,944201	1,373567	-265,554810	327,616608
2,946005	1,372362	-264,121948	326,446869
2,947757	1,372624	-268,585327	326,929230
2,949271	1,372851	-267,419830	328,432129
2,950579	1,373047	-269,127655	331,903107
2,951710	1,373216	-270,603638	333,952576
2,952878	1,371572	-270,385925	335,180817
2,953886	1,370150	-268,568726	334,748993
2,954758	1,368922	-268,763031	335,054565
2,955512	1,367861	-270,152740	333,553864
2,953619	1,365570	-270,675018	331,985382
2,951984	1,363591	-271,126404	334,159454
2,950571	1,361880	-270,158966	331,965729
2,949349	1,360402	-268,644073	333,735199
2,945633	1,360847	-270,321442	336,214752
2,942421	1,361231	-272,857147	338,357666
2,939646	1,361563	-273,012299	337,087311
2,937247	1,361850	-272,874878	338,297241
2,932724	1,360540	-274,249420	336,763580
2,928814	1,359408	-276,930664	338,288971
2,925436	1,358429	-276,532806	335,941895
2,922516	1,357583	-275,645935	338,393372
2,917797	1,355431	-277,458832	335,624878
2,913719	1,353571	-277,668060	334,046753
2,910195	1,351964	-279,749451	335,262207
2,907149	1,350575	-277,747131	333,054535
2,905595	1,348473	-275,202118	332,368347
2,904251	1,346656	-275,989197	330,146271
2,903090	1,345085	-277,891235	326,868286
2,902086	1,343728	-278,584778	330,280060
2,899115	1,342088	-276,876343	329,427521
2,896548	1,342792	-276,757385	330,184021
2,894328	1,343401	-273,803711	328,122711
2,892411	1,343926	-274,373383	328,377563
2,889077	1,344381	-274,865723	329,955383
2,886196	1,346256	-274,476685	330,232941
2,883707	1,347876	-273,733185	330,608582
2,881555	1,349276	-275,669983	334,462860
2,879695	1,350486	-272,863922	333,856995
