Ax	Ay	Gx	Gy
0,108266	0,003327	0,028916	0,012845
0,108266	0,003327	0,028681	0,012737
0,108266	0,003327	0,028243	0,012589
0,108413	0,003399	0,027467	0,012280
0,108541	0,003461	0,027175	0,012303
0,108651	0,003514	0,026490	0,011653
0,108746	0,003561	0,025915	0,011002
0,108998	0,003606	0,025455	0,011252
0,109215	0,003645	0,025003	0,010510
0,109403	0,003679	0,024323	0,009471
0,109565	0,003708	0,023518	0,008519
0,109817	0,003681	0,023130	0,008094
0,110035	0,003657	0,023265	0,007058
0,110223	0,003636	0,023598	0,006416
0,110386	0,003619	0,024212	0,004577
0,110519	0,003538	0,025085	0,003295
0,110634	0,003467	0,026021	0,001970
0,110734	0,003407	0,026468	0,000988
0,110820	0,003355	0,027018	-0,000403
0,110955	0,003234	0,027655	-0,001406
0,111072	0,003129	0,028097	-0,002021
0,111173	0,003039	0,028516	-0,002768
0,111260	0,002961	0,028588	-0,003143
0,111405	0,002908	0,028127	-0,003576
0,111530	0,002862	0,028216	-0,003534
0,111638	0,002823	0,027552	-0,003968
0,111731	0,002788	0,027104	-0,004777
0,111863	0,002675	0,026645	-0,005403
0,111976	0,002577	0,025851	-0,006035
0,112075	0,002492	0,024459	-0,006599
0,112159	0,002419	0,023582	-0,007322
0,112263	0,002235	0,022697	-0,008941
0,112353	0,002077	0,021715	-0,009780
0,112431	0,001940	0,020704	-0,010595
0,112498	0,001821	0,019578	-0,011372
0,112556	0,001644	0,018821	-0,012911
0,112667	0,001491	0,017950	-0,013210
0,112763	0,001358	0,017251	-0,013542
0,112846	0,001244	0,016738	-0,013919
0,112918	0,001145	0,016547	-0,014335
0,112974	0,001131	0,016473	-0,014784
0,113023	0,001119	0,016173	-0,015282
0,113066	0,001108	0,015589	-0,014880
0,113102	0,001099	0,015229	-0,014659
0,113136	0,001071	0,015099	-0,014776
0,113165	0,001047	0,014371	-0,014967
0,113190	0,001026	0,014032	-0,015006
0,113212	0,001008	0,013305	-0,015039
0,113232	0,001036	0,012640	-0,015393
0,113249	0,001061	0,012030	-0,015483
0,113264	0,001082	0,011701	-0,016247
0,113277	0,001101	0,011272	-0,016726
